"""teste""";"""par"""
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
2;1
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
2;1
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
2;1
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
2;1
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
1;2
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
NA;3
